Grid ID,X-Permutation,O-Permutation,Knot Type,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
G2408,"(0, 9, 7, 8, 2, 3, 1, 4, 6, 5)","(6, 3, 1, 4, 7, 0, 5, 9, 2, 8)",12n356,-5,0,G2404,G2001,G2003
G2409,"(0, 1, 6, 2, 9, 3, 5, 4, 8, 7)","(3, 9, 0, 8, 4, 7, 1, 6, 5, 2)",12n356,-5,0,G2407,G2002,G2000
G2004,"(0, 7, 3, 8, 5, 1, 6, 9, 2, 4)","(6, 1, 9, 0, 2, 4, 3, 5, 7, 8)",12n358,-1,0,G2007,G2414,?
G2005,"(0, 3, 9, 1, 2, 8, 4, 6, 5, 7)","(6, 8, 5, 7, 0, 1, 9, 3, 2, 4)",12n358,-1,0,G2009,G2412,G2411
G2006,"(0, 1, 8, 6, 7, 9, 2, 4, 3, 5)","(4, 7, 3, 0, 5, 6, 8, 1, 9, 2)",12n358,-1,0,G2008,G2415,G2413
G2007,"(0, 3, 1, 2, 5, 6, 4, 7, 9, 8)","(7, 9, 4, 6, 0, 3, 8, 1, 5, 2)",12n358,-1,0,G2004,?,G2414
G2008,"(0, 9, 1, 3, 6, 7, 5, 2, 4, 8)","(3, 2, 5, 7, 8, 4, 0, 6, 9, 1)",12n358,-1,0,G2006,G2413,G2415
G2009,"(0, 9, 1, 4, 2, 5, 3, 8, 6, 7)","(6, 3, 8, 0, 9, 1, 7, 4, 2, 5)",12n358,-1,0,G2005,G2411,G2412
G2410,"(0, 4, 6, 2, 3, 5, 7, 9, 1, 8)","(7, 9, 1, 8, 0, 2, 4, 6, 5, 3)",12n358,-1,0,?,?,?
G2411,"(0, 2, 9, 1, 3, 5, 4, 8, 6, 7)","(6, 8, 4, 7, 0, 2, 1, 3, 9, 5)",12n358,-1,0,G2412,G2009,G2005
G2412,"(0, 7, 8, 1, 9, 6, 2, 4, 3, 5)","(4, 3, 6, 7, 5, 0, 8, 1, 9, 2)",12n358,-1,0,G2411,G2005,G2009
G2413,"(0, 8, 6, 1, 7, 2, 4, 3, 5, 9)","(7, 2, 9, 4, 3, 5, 8, 6, 0, 1)",12n358,-1,0,G2415,G2008,G2006
G2414,"(0, 5, 3, 4, 6, 8, 7, 9, 1, 2)","(4, 1, 7, 2, 9, 5, 0, 3, 6, 8)",12n358,-1,0,?,G2004,G2007
G2415,"(0, 9, 1, 3, 6, 2, 8, 4, 5, 7)","(3, 2, 4, 8, 0, 7, 5, 6, 9, 1)",12n358,-1,0,G2413,G2006,G2008
G2197,"(0, 8, 3, 7, 2, 9, 1, 5, 4, 6)","(5, 1, 9, 0, 8, 6, 4, 3, 7, 2)",m12n358,-9,0,G2198,G2604,G2603
G2198,"(0, 8, 9, 7, 2, 1, 6, 5, 3, 4)","(6, 1, 3, 0, 8, 5, 4, 9, 7, 2)",m12n358,-9,0,G2197,G2603,G2604
G2603,"(0, 4, 9, 5, 3, 1, 7, 6, 8, 2)","(3, 1, 2, 0, 8, 6, 5, 9, 4, 7)",m12n358,-9,0,G2604,G2198,G2197
G2604,"(0, 8, 3, 2, 9, 7, 4, 6, 1, 5)","(4, 2, 1, 6, 5, 0, 8, 9, 7, 3)",m12n358,-9,0,G2603,G2197,G2198
G2014,"(0, 2, 9, 7, 8, 4, 6, 5, 1, 3)","(5, 8, 6, 0, 1, 9, 3, 2, 4, 7)",12n462,-5,0,G2015,G2421,G2420
G2015,"(0, 4, 2, 3, 6, 5, 7, 9, 1, 8)","(3, 1, 9, 7, 0, 8, 4, 6, 5, 2)",12n462,-5,0,G2014,G2420,G2421
G2420,"(0, 3, 1, 7, 9, 8, 5, 6, 4, 2)","(6, 9, 8, 0, 2, 4, 1, 3, 7, 5)",12n462,-5,0,G2421,G2015,G2014
G2421,"(0, 4, 3, 5, 8, 6, 9, 7, 1, 2)","(5, 7, 6, 2, 4, 1, 3, 0, 8, 9)",12n462,-5,0,G2420,G2014,G2015
G2022,"(0, 2, 9, 3, 5, 4, 7, 6, 8, 1)","(3, 6, 4, 8, 1, 0, 2, 9, 5, 7)",12n768,-1,0,G2023,G2428,G2429
G2023,"(0, 2, 1, 4, 6, 5, 8, 7, 9, 3)","(6, 9, 5, 7, 3, 0, 2, 1, 4, 8)",12n768,-1,0,G2022,G2429,G2428
G2428,"(0, 4, 6, 5, 8, 7, 9, 1, 3, 2)","(5, 9, 3, 1, 4, 0, 2, 6, 8, 7)",12n768,-1,0,G2429,G2022,G2023
G2429,"(0, 2, 4, 6, 5, 8, 7, 9, 3, 1)","(5, 7, 1, 3, 9, 2, 0, 4, 8, 6)",12n768,-1,0,G2428,G2023,G2022
