Knot Type,Grid ID,X-Permutation,O-Permutation,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal,x+,x-
8a1,G1011,"(0, 9, 2, 1, 4, 3, 7, 8, 5, 6)","(8, 1, 0, 3, 2, 5, 4, 6, 7, 9)",-7,0,G1011,G1011,G1011,1,1
m8a1,G1848,"(0, 8, 1, 9, 4, 2, 5, 3, 7, 6)","(5, 2, 7, 3, 0, 6, 1, 8, 9, 4)",-3,0,G1848,G1848,G1848,1,1
m8a1,G1849,"(0, 1, 8, 9, 6, 7, 5, 4, 2, 3)","(2, 9, 0, 7, 8, 4, 3, 6, 5, 1)",-3,0,G1849,G1849,G1849,1,1
m8a1,G1850,"(0, 6, 4, 8, 7, 2, 1, 3, 5, 9)","(8, 9, 7, 6, 3, 5, 4, 0, 1, 2)",-3,0,G1850,G1850,G1850,1,1
8a2,G1014,"(0, 2, 3, 9, 8, 7, 6, 5, 4, 1)","(3, 4, 1, 2, 0, 9, 8, 7, 6, 5)",-11,-4,--,--,G1014,1,1
8a2,G1015,"(0, 9, 8, 7, 4, 5, 3, 2, 6, 1)","(2, 1, 0, 9, 6, 8, 7, 4, 3, 5)",-11,-4,--,--,G1015,1,1
8a2,G1012,"(0, 9, 7, 8, 6, 5, 3, 2, 4, 1)","(2, 1, 0, 5, 4, 9, 7, 6, 8, 3)",-11,-2,--,--,G1013,1,1
8a2,G1013,"(0, 7, 6, 4, 5, 3, 2, 1, 9, 8)","(6, 5, 9, 8, 0, 7, 4, 3, 2, 1)",-11,-2,--,--,G1012,1,1
8a2,G1016,"(0, 2, 9, 1, 8, 7, 5, 4, 6, 3)","(5, 4, 3, 7, 6, 0, 2, 9, 1, 8)",-11,0,G1016,G1016,G1016,1,1
8a2,G1017,"(0, 9, 1, 8, 6, 5, 7, 3, 2, 4)","(5, 4, 7, 3, 0, 9, 2, 1, 6, 8)",-11,0,G1018,G1017,G1018,1,1
8a2,G1018,"(0, 9, 1, 8, 6, 5, 7, 3, 2, 4)","(5, 3, 7, 4, 0, 9, 2, 1, 8, 6)",-11,0,G1017,G1018,G1017,1,1
8a2,G1019,"(0, 9, 7, 6, 5, 3, 4, 2, 1, 8)","(7, 6, 5, 4, 1, 8, 0, 9, 3, 2)",-11,2,--,--,G1020,1,1
8a2,G1020,"(0, 7, 9, 8, 6, 5, 3, 4, 2, 1)","(8, 3, 5, 4, 2, 7, 6, 1, 0, 9)",-11,2,--,--,G1019,1,1
8a2,G1021,"(0, 7, 6, 5, 4, 3, 2, 8, 9, 1)","(6, 5, 4, 3, 2, 1, 9, 0, 7, 8)",-11,4,--,--,G1021,1,1
8a2,G1022,"(0, 5, 9, 8, 6, 7, 4, 3, 2, 1)","(6, 8, 7, 4, 3, 5, 2, 1, 0, 9)",-11,4,--,--,G1022,1,1
m8a2,G1851,"(0, 1, 2, 3, 5, 4, 7, 6, 8, 9)","(8, 9, 0, 1, 2, 6, 5, 3, 4, 7)",1,0,?,G1851,?,1,1
8a3,G1023,"(0, 5, 4, 6, 7, 2, 3, 9, 8, 1)","(2, 1, 7, 3, 5, 4, 8, 6, 0, 9)",-5,0,G1023,G1023,G1023,1,1
8a3,G1024,"(0, 9, 2, 1, 4, 3, 7, 8, 5, 6)","(5, 1, 0, 3, 2, 8, 9, 6, 7, 4)",-5,0,G1024,G1024,G1024,1,1
8a4,G1025,"(0, 1, 7, 8, 2, 9, 5, 3, 6, 4)","(2, 5, 3, 6, 7, 4, 0, 9, 1, 8)",-3,0,?,?,G1026,1,1
8a4,G1026,"(0, 7, 9, 8, 4, 1, 2, 5, 3, 6)","(4, 2, 5, 3, 9, 6, 0, 1, 7, 8)",-3,0,?,?,G1026,1,1
m8a4,G1852,"(0, 7, 4, 8, 9, 5, 3, 2, 6, 1)","(2, 1, 9, 0, 6, 8, 7, 4, 3, 5)",-7,-2,--,--,G1852,1,1
m8a4,G1853,"(0, 7, 8, 6, 3, 9, 4, 2, 1, 5)","(4, 9, 1, 0, 7, 5, 8, 6, 3, 2)",-7,-2,--,--,G1853,1,1
m8a4,G1854,"(0, 9, 8, 7, 4, 3, 5, 6, 1, 2)","(5, 1, 0, 9, 8, 6, 2, 4, 3, 7)",-7,-2,--,--,G1854,1,1
m8a4,G1855,"(0, 7, 8, 6, 5, 4, 3, 1, 2, 9)","(8, 9, 3, 2, 7, 6, 5, 4, 0, 1)",-7,-2,--,--,G1855,1,1
m8a4,G1856,"(0, 9, 6, 7, 4, 5, 3, 2, 8, 1)","(2, 1, 8, 5, 6, 0, 9, 4, 3, 7)",-7,-2,--,--,G1856,1,1
m8a4,G1857,"(0, 9, 3, 2, 7, 6, 1, 8, 4, 5)","(4, 2, 1, 8, 0, 9, 7, 5, 6, 3)",-7,0,G1859,G1857,G1859,1,1
m8a4,G1858,"(0, 7, 5, 3, 1, 2, 4, 9, 8, 6)","(4, 2, 9, 6, 5, 0, 8, 7, 3, 1)",-7,0,G1860,G1858,G1860,1,1
m8a4,G1859,"(0, 6, 7, 3, 2, 5, 9, 8, 4, 1)","(7, 8, 5, 6, 4, 1, 3, 2, 0, 9)",-7,0,G1857,G1859,G1857,1,1
m8a4,G1860,"(0, 2, 6, 5, 9, 8, 4, 7, 1, 3)","(5, 8, 4, 1, 3, 0, 9, 2, 6, 7)",-7,0,G1858,G1860,G1858,1,1
m8a4,G1861,"(0, 7, 8, 6, 5, 4, 3, 1, 2, 9)","(8, 9, 5, 4, 3, 2, 7, 6, 0, 1)",-7,2,--,--,G1861,1,1
m8a4,G1862,"(0, 3, 9, 8, 6, 7, 4, 5, 2, 1)","(4, 8, 7, 2, 1, 5, 6, 3, 0, 9)",-7,2,--,--,G1862,1,1
m8a4,G1863,"(0, 5, 9, 8, 6, 2, 3, 7, 4, 1)","(6, 8, 7, 4, 3, 5, 1, 2, 0, 9)",-7,2,--,--,G1863,1,1
m8a4,G1864,"(0, 4, 3, 1, 6, 2, 9, 7, 8, 5)","(3, 2, 9, 7, 0, 8, 5, 4, 6, 1)",-7,2,--,--,G1864,1,1
m8a4,G1865,"(0, 1, 6, 7, 9, 8, 5, 4, 3, 2)","(5, 9, 8, 0, 6, 4, 3, 2, 1, 7)",-7,2,--,--,G1865,1,1
8a5,G1030,"(0, 9, 8, 6, 5, 3, 2, 4, 7, 1)","(2, 1, 0, 9, 7, 6, 5, 8, 3, 4)",-11,-4,--,--,G1030,1,1
8a5,G1027,"(0, 9, 8, 5, 3, 6, 4, 7, 2, 1)","(2, 4, 1, 0, 7, 9, 8, 5, 6, 3)",-11,-2,--,--,G1027,1,1
8a5,G1028,"(0, 9, 5, 4, 6, 3, 8, 7, 2, 1)","(2, 1, 0, 8, 9, 7, 5, 4, 6, 3)",-11,-2,--,--,G1029,1,1
8a5,G1029,"(0, 9, 8, 5, 3, 2, 4, 7, 6, 1)","(2, 1, 0, 9, 7, 6, 8, 5, 3, 4)",-11,-2,--,--,G1028,1,1
8a5,G1031,"(0, 9, 1, 4, 8, 6, 3, 7, 5, 2)","(6, 4, 5, 0, 3, 2, 9, 1, 8, 7)",-11,0,G1031,G1031,G1031,1,1
8a5,G1032,"(0, 8, 7, 6, 5, 4, 3, 1, 2, 9)","(7, 6, 3, 2, 9, 8, 5, 4, 0, 1)",-11,0,G1032,G1032,G1032,1,1
8a5,G1033,"(0, 1, 9, 8, 6, 3, 7, 5, 4, 2)","(3, 7, 5, 4, 0, 9, 2, 1, 6, 8)",-11,0,G1034,G1033,G1034,1,1
8a5,G1034,"(0, 8, 4, 7, 6, 3, 5, 2, 1, 9)","(6, 5, 9, 2, 1, 7, 0, 8, 4, 3)",-11,0,G1033,G1034,G1033,1,1
8a5,G1035,"(0, 9, 4, 7, 5, 8, 6, 3, 2, 1)","(8, 5, 6, 3, 2, 4, 1, 0, 7, 9)",-11,2,--,--,G1035,1,1
8a5,G1036,"(0, 5, 4, 7, 9, 8, 6, 3, 2, 1)","(7, 8, 6, 3, 5, 4, 2, 1, 0, 9)",-11,2,--,--,G1037,1,1
8a5,G1037,"(0, 9, 4, 3, 8, 5, 7, 6, 2, 1)","(8, 5, 7, 6, 4, 2, 3, 1, 0, 9)",-11,2,--,--,G1036,1,1
8a5,G1038,"(0, 4, 7, 9, 8, 6, 5, 3, 2, 1)","(7, 8, 3, 6, 5, 4, 2, 1, 0, 9)",-11,4,--,--,G1038,1,1
m8a5,G1866,"(0, 2, 3, 4, 5, 1, 8, 6, 7, 9)","(3, 4, 5, 6, 8, 7, 2, 9, 0, 1)",1,0,?,G1866,?,1,1
8a6,G1039,"(0, 4, 3, 8, 7, 6, 5, 1, 2, 9)","(3, 2, 5, 4, 9, 8, 7, 6, 0, 1)",-9,-2,--,--,G1039,1,1
8a6,G1040,"(0, 1, 7, 6, 5, 4, 9, 8, 2, 3)","(2, 4, 3, 8, 7, 6, 5, 0, 9, 1)",-9,-2,--,--,G1040,1,1
8a6,G1041,"(0, 9, 8, 1, 3, 5, 4, 7, 6, 2)","(3, 2, 0, 4, 9, 1, 6, 5, 8, 7)",-9,-2,--,--,G1041,1,1
8a6,G1042,"(0, 9, 4, 1, 3, 2, 6, 5, 8, 7)","(3, 2, 0, 8, 9, 5, 4, 7, 6, 1)",-9,0,G1043,G1042,G1043,1,1
8a6,G1043,"(0, 9, 7, 2, 1, 4, 3, 6, 5, 8)","(6, 5, 1, 0, 3, 2, 8, 9, 7, 4)",-9,0,G1042,G1043,G1042,1,1
8a6,G1044,"(0, 7, 8, 4, 3, 2, 1, 6, 5, 9)","(8, 9, 3, 2, 1, 0, 5, 4, 7, 6)",-9,2,--,--,G1044,1,1
