Knot Type,Grid ID,X-Permutation,O-Permutation,tb,r,grid ID num,Grid ID,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
m8a4,G1852,"(0, 7, 4, 8, 9, 5, 3, 2, 6, 1)","(2, 1, 9, 0, 6, 8, 7, 4, 3, 5)",-7,-2,#REF!,G1852,--,--,G1852
m8a4,G1853,"(0, 7, 8, 6, 3, 9, 4, 2, 1, 5)","(4, 9, 1, 0, 7, 5, 8, 6, 3, 2)",-7,-2,#REF!,G1853,--,--,G1853
m8a4,G1854,"(0, 9, 8, 7, 4, 3, 5, 6, 1, 2)","(5, 1, 0, 9, 8, 6, 2, 4, 3, 7)",-7,-2,#REF!,G1854,--,--,G1854
m8a4,G1855,"(0, 7, 8, 6, 5, 4, 3, 1, 2, 9)","(8, 9, 3, 2, 7, 6, 5, 4, 0, 1)",-7,-2,#REF!,G1855,--,--,G1855
m8a4,G1856,"(0, 9, 6, 7, 4, 5, 3, 2, 8, 1)","(2, 1, 8, 5, 6, 0, 9, 4, 3, 7)",-7,-2,#REF!,G1856,--,--,G1856
m8a4,G1857,"(0, 9, 3, 2, 7, 6, 1, 8, 4, 5)","(4, 2, 1, 8, 0, 9, 7, 5, 6, 3)",-7,0,#REF!,G1857,G1859,G1857,G1859
m8a4,G1858,"(0, 7, 5, 3, 1, 2, 4, 9, 8, 6)","(4, 2, 9, 6, 5, 0, 8, 7, 3, 1)",-7,0,#REF!,G1858,G1860,G1858,G1860
m8a4,G1859,"(0, 6, 7, 3, 2, 5, 9, 8, 4, 1)","(7, 8, 5, 6, 4, 1, 3, 2, 0, 9)",-7,0,#REF!,G1859,G1857,G1859,G1857
m8a4,G1860,"(0, 2, 6, 5, 9, 8, 4, 7, 1, 3)","(5, 8, 4, 1, 3, 0, 9, 2, 6, 7)",-7,0,#REF!,G1860,G1858,G1860,G1858
m8a4,G1861,"(0, 7, 8, 6, 5, 4, 3, 1, 2, 9)","(8, 9, 5, 4, 3, 2, 7, 6, 0, 1)",-7,2,#REF!,G1861,--,--,G1861
m8a4,G1862,"(0, 3, 9, 8, 6, 7, 4, 5, 2, 1)","(4, 8, 7, 2, 1, 5, 6, 3, 0, 9)",-7,2,#REF!,G1862,--,--,G1862
m8a4,G1863,"(0, 5, 9, 8, 6, 2, 3, 7, 4, 1)","(6, 8, 7, 4, 3, 5, 1, 2, 0, 9)",-7,2,#REF!,G1863,--,--,G1863
m8a4,G1864,"(0, 4, 3, 1, 6, 2, 9, 7, 8, 5)","(3, 2, 9, 7, 0, 8, 5, 4, 6, 1)",-7,2,#REF!,G1864,--,--,G1864
m8a4,G1865,"(0, 1, 6, 7, 9, 8, 5, 4, 3, 2)","(5, 9, 8, 0, 6, 4, 3, 2, 1, 7)",-7,2,#REF!,G1865,--,--,G1865
8a5,G1030,"(0, 9, 8, 6, 5, 3, 2, 4, 7, 1)","(2, 1, 0, 9, 7, 6, 5, 8, 3, 4)",-11,-4,#REF!,G1030,--,--,G1030
8a5,G1027,"(0, 9, 8, 5, 3, 6, 4, 7, 2, 1)","(2, 4, 1, 0, 7, 9, 8, 5, 6, 3)",-11,-2,#REF!,G1027,--,--,G1027
8a5,G1028,"(0, 9, 5, 4, 6, 3, 8, 7, 2, 1)","(2, 1, 0, 8, 9, 7, 5, 4, 6, 3)",-11,-2,#REF!,G1028,--,--,G1029
8a5,G1029,"(0, 9, 8, 5, 3, 2, 4, 7, 6, 1)","(2, 1, 0, 9, 7, 6, 8, 5, 3, 4)",-11,-2,#REF!,G1029,--,--,G1028
8a5,G1031,"(0, 9, 1, 4, 8, 6, 3, 7, 5, 2)","(6, 4, 5, 0, 3, 2, 9, 1, 8, 7)",-11,0,#REF!,G1031,G1031,G1031,G1031
8a5,G1032,"(0, 8, 7, 6, 5, 4, 3, 1, 2, 9)","(7, 6, 3, 2, 9, 8, 5, 4, 0, 1)",-11,0,#REF!,G1032,G1032,G1032,G1032
8a5,G1033,"(0, 1, 9, 8, 6, 3, 7, 5, 4, 2)","(3, 7, 5, 4, 0, 9, 2, 1, 6, 8)",-11,0,#REF!,G1033,G1034,G1033,G1034
8a5,G1034,"(0, 8, 4, 7, 6, 3, 5, 2, 1, 9)","(6, 5, 9, 2, 1, 7, 0, 8, 4, 3)",-11,0,#REF!,G1034,G1033,G1034,G1033
8a5,G1035,"(0, 9, 4, 7, 5, 8, 6, 3, 2, 1)","(8, 5, 6, 3, 2, 4, 1, 0, 7, 9)",-11,2,#REF!,G1035,--,--,G1035
8a5,G1036,"(0, 5, 4, 7, 9, 8, 6, 3, 2, 1)","(7, 8, 6, 3, 5, 4, 2, 1, 0, 9)",-11,2,#REF!,G1036,--,--,G1037
8a5,G1037,"(0, 9, 4, 3, 8, 5, 7, 6, 2, 1)","(8, 5, 7, 6, 4, 2, 3, 1, 0, 9)",-11,2,#REF!,G1037,--,--,G1036
8a5,G1038,"(0, 4, 7, 9, 8, 6, 5, 3, 2, 1)","(7, 8, 3, 6, 5, 4, 2, 1, 0, 9)",-11,4,#REF!,G1038,--,--,G1038
m8a5,G1866,"(0, 2, 3, 4, 5, 1, 8, 6, 7, 9)","(3, 4, 5, 6, 8, 7, 2, 9, 0, 1)",1,0,#REF!,G1866,?,G1866,?
8a6,G1039,"(0, 4, 3, 8, 7, 6, 5, 1, 2, 9)","(3, 2, 5, 4, 9, 8, 7, 6, 0, 1)",-9,-2,#REF!,G1039,--,--,G1039
8a6,G1040,"(0, 1, 7, 6, 5, 4, 9, 8, 2, 3)","(2, 4, 3, 8, 7, 6, 5, 0, 9, 1)",-9,-2,#REF!,G1040,--,--,G1040
8a6,G1041,"(0, 9, 8, 1, 3, 5, 4, 7, 6, 2)","(3, 2, 0, 4, 9, 1, 6, 5, 8, 7)",-9,-2,#REF!,G1041,--,--,G1041
8a6,G1042,"(0, 9, 4, 1, 3, 2, 6, 5, 8, 7)","(3, 2, 0, 8, 9, 5, 4, 7, 6, 1)",-9,0,#REF!,G1042,G1043,G1042,G1043
8a6,G1043,"(0, 9, 7, 2, 1, 4, 3, 6, 5, 8)","(6, 5, 1, 0, 3, 2, 8, 9, 7, 4)",-9,0,#REF!,G1043,G1042,G1043,G1042
8a6,G1044,"(0, 7, 8, 4, 3, 2, 1, 6, 5, 9)","(8, 9, 3, 2, 1, 0, 5, 4, 7, 6)",-9,2,#REF!,G1044,--,--,G1044
8a6,G1045,"(0, 1, 5, 4, 9, 8, 7, 6, 2, 3)","(2, 4, 3, 8, 7, 6, 5, 0, 9, 1)",-9,2,#REF!,G1045,--,--,G1045
8a6,G1046,"(0, 6, 5, 8, 7, 9, 1, 4, 3, 2)","(5, 4, 7, 6, 1, 3, 8, 2, 0, 9)",-9,2,#REF!,G1046,--,--,G1046
m8a6,G1867,"(0, 5, 6, 7, 8, 3, 4, 2, 1, 9)","(8, 9, 4, 5, 6, 7, 1, 0, 3, 2)",-1,0,#REF!,G1867,?,G1867,?
m8a6,G1868,"(0, 4, 2, 6, 7, 8, 5, 9, 3, 1)","(2, 1, 7, 8, 9, 0, 3, 4, 6, 5)",-1,0,#REF!,G1868,?,G1868,?
8a7,G1047,"(0, 1, 5, 6, 7, 8, 9, 4, 3, 2)","(3, 6, 7, 8, 9, 0, 2, 1, 5, 4)",-2,-1,#REF!,G1047,--,--,?
8a7,G1048,"(0, 9, 1, 8, 2, 3, 4, 5, 7, 6)","(7, 5, 6, 0, 9, 1, 2, 3, 4, 8)",-2,-1,#REF!,G1048,--,--,?
8a7,G1049,"(0, 9, 8, 3, 4, 5, 6, 7, 1, 2)","(8, 7, 1, 0, 2, 3, 4, 5, 6, 9)",-2,1,#REF!,G1049,--,--,?
8a7,G1050,"(0, 9, 1, 2, 3, 4, 8, 5, 7, 6)","(8, 2, 3, 4, 5, 7, 6, 0, 1, 9)",-2,1,#REF!,G1050,--,--,?
m8a7,G1872,"(0, 5, 4, 3, 2, 1, 7, 6, 8, 9)","(8, 9, 6, 5, 4, 3, 2, 0, 1, 7)",-8,-3,#REF!,G1872,--,--,?
m8a7,G1873,"(0, 9, 5, 4, 6, 3, 2, 1, 7, 8)","(7, 1, 0, 8, 9, 5, 4, 3, 2, 6)",-8,-3,#REF!,G1873,--,--,?
m8a7,G1869,"(0, 4, 9, 5, 3, 6, 7, 8, 2, 1)","(3, 2, 1, 0, 8, 9, 5, 6, 7, 4)",-8,-1,#REF!,G1869,--,--,?
m8a7,G1870,"(0, 8, 7, 9, 2, 3, 6, 5, 1, 4)","(5, 2, 1, 3, 4, 0, 8, 7, 6, 9)",-8,-1,#REF!,G1870,--,--,?
m8a7,G1871,"(0, 3, 5, 4, 2, 1, 7, 9, 8, 6)","(7, 8, 1, 0, 6, 3, 2, 5, 4, 9)",-8,-1,#REF!,G1871,--,--,?
m8a7,G1874,"(0, 3, 9, 8, 1, 2, 5, 7, 6, 4)","(5, 8, 7, 6, 4, 0, 1, 3, 2, 9)",-8,1,#REF!,G1874,--,--,?
m8a7,G1875,"(0, 8, 7, 9, 5, 4, 2, 1, 3, 6)","(7, 2, 1, 4, 3, 0, 6, 5, 8, 9)",-8,1,#REF!,G1875,--,--,?
m8a7,G1876,"(0, 9, 3, 4, 5, 8, 6, 2, 7, 1)","(7, 4, 5, 6, 2, 3, 1, 0, 9, 8)",-8,1,#REF!,G1876,--,--,?
m8a7,G1877,"(0, 1, 7, 6, 5, 2, 4, 3, 9, 8)","(2, 6, 5, 4, 3, 9, 0, 8, 7, 1)",-8,3,#REF!,G1877,--,--,?
m8a7,G1878,"(0, 1, 3, 2, 8, 7, 6, 5, 4, 9)","(2, 8, 9, 7, 6, 5, 4, 3, 0, 1)",-8,3,#REF!,G1878,--,--,?
8a8,G1051,"(0, 9, 8, 6, 7, 3, 4, 5, 1, 2)","(7, 1, 0, 9, 4, 5, 6, 2, 3, 8)",-4,-1,#REF!,G1051,--,--,?
8a8,G1052,"(0, 7, 6, 2, 5, 8, 1, 3, 4, 9)","(3, 1, 8, 7, 9, 4, 6, 5, 0, 2)",-4,-1,#REF!,G1052,--,--,?
8a8,G1053,"(0, 1, 7, 8, 6, 5, 2, 4, 3, 9)","(2, 8, 9, 4, 3, 7, 6, 0, 5, 1)",-4,-1,#REF!,G1053,--,--,?
8a8,G1054,"(0, 9, 6, 8, 1, 5, 2, 3, 4, 7)","(5, 1, 0, 4, 7, 9, 6, 8, 2, 3)",-4,-1,#REF!,G1054,--,--,?
8a8,G1055,"(0, 8, 7, 6, 1, 9, 3, 4, 2, 5)","(3, 2, 9, 8, 7, 4, 5, 6, 0, 1)",-4,-1,#REF!,G1055,--,--,?
8a8,G1056,"(0, 3, 1, 2, 6, 4, 9, 8, 7, 5)","(4, 5, 9, 0, 1, 8, 7, 6, 3, 2)",-4,1,#REF!,G1056,--,--,?
8a8,G1057,"(0, 6, 5, 7, 4, 3, 1, 2, 8, 9)","(8, 4, 9, 3, 2, 6, 5, 0, 1, 7)",-4,1,#REF!,G1057,--,--,?
8a8,G1058,"(0, 3, 4, 5, 2, 6, 9, 1, 8, 7)","(4, 5, 9, 1, 8, 0, 3, 7, 6, 2)",-4,1,#REF!,G1058,--,--,?
8a8,G1059,"(0, 1, 7, 8, 9, 5, 6, 4, 3, 2)","(4, 9, 0, 6, 7, 8, 3, 2, 1, 5)",-4,1,#REF!,G1059,--,--,?
8a8,G1060,"(0, 5, 6, 8, 1, 4, 7, 3, 2, 9)","(7, 9, 4, 3, 5, 0, 2, 1, 8, 6)",-4,1,#REF!,G1060,--,--,?
m8a8,G1879,"(0, 4, 5, 2, 1, 8, 6, 9, 7, 3)","(5, 6, 9, 7, 3, 4, 0, 2, 1, 8)",-6,-1,#REF!,G1879,--,--,?
m8a8,G1880,"(0, 2, 9, 1, 4, 5, 8, 7, 3, 6)","(4, 7, 3, 5, 6, 2, 0, 9, 8, 1)",-6,-1,#REF!,G1880,--,--,?
m8a8,G1881,"(0, 3, 2, 9, 1, 5, 6, 8, 4, 7)","(5, 8, 4, 3, 6, 7, 2, 0, 9, 1)",-6,-1,#REF!,G1881,--,--,?
m8a8,G1882,"(0, 3, 9, 1, 2, 6, 8, 5, 4, 7)","(6, 8, 7, 5, 0, 1, 4, 3, 9, 2)",-6,1,#REF!,G1882,--,--,?
m8a8,G1883,"(0, 3, 9, 8, 1, 2, 5, 7, 4, 6)","(5, 8, 7, 6, 4, 0, 1, 3, 9, 2)",-6,1,#REF!,G1883,--,--,?
m8a8,G1884,"(0, 6, 4, 7, 5, 2, 1, 8, 9, 3)","(5, 2, 1, 3, 9, 0, 6, 4, 7, 8)",-6,1,#REF!,G1884,--,--,?
8a9,G1061,"(0, 9, 4, 3, 5, 6, 7, 8, 2, 1)","(2, 1, 0, 8, 9, 4, 5, 6, 7, 3)",-5,-2,#REF!,G1061,--,--,?
8a9,G1062,"(0, 6, 7, 8, 9, 2, 5, 4, 3, 1)","(2, 1, 3, 6, 7, 8, 0, 9, 5, 4)",-5,-2,#REF!,G1062,--,--,?
8a9,G1063,"(0, 9, 1, 7, 5, 6, 4, 2, 3, 8)","(5, 4, 6, 3, 8, 0, 7, 9, 1, 2)",-5,0,#REF!,G1063,?,?,G1064
8a9,G1064,"(0, 8, 6, 7, 5, 1, 3, 2, 4, 9)","(5, 3, 2, 4, 8, 6, 9, 7, 0, 1)",-5,0,#REF!,G1064,?,?,G1063
8a9,G1065,"(0, 8, 7, 6, 9, 2, 3, 4, 5, 1)","(7, 6, 2, 1, 3, 4, 5, 8, 0, 9)",-5,2,#REF!,G1065,--,--,?
8a9,G1066,"(0, 9, 3, 4, 5, 6, 8, 7, 2, 1)","(8, 4, 5, 6, 7, 2, 3, 1, 0, 9)",-5,2,#REF!,G1066,--,--,?
8a10,G891,"(0, 3, 4, 5, 6, 9, 8, 7, 1, 2)","(4, 5, 6, 7, 1, 2, 0, 9, 3, 8)",-2,-1,#REF!,G891,--,--,G892
8a10,G892,"(0, 6, 5, 3, 1, 2, 4, 7, 8, 9)","(3, 2, 7, 6, 4, 5, 8, 9, 0, 1)",-2,-1,#REF!,G892,--,--,G891
8a10,G893,"(0, 3, 5, 7, 9, 8, 4, 6, 1, 2)","(4, 7, 8, 1, 2, 0, 9, 3, 5, 6)",-2,-1,#REF!,G893,--,--,?
8a10,G894,"(0, 9, 5, 2, 3, 1, 4, 6, 7, 8)","(3, 1, 0, 4, 6, 5, 7, 8, 9, 2)",-2,-1,#REF!,G894,--,--,?
8a10,G895,"(0, 1, 2, 5, 7, 8, 6, 4, 3, 9)","(8, 9, 0, 1, 4, 5, 3, 2, 7, 6)",-2,1,#REF!,G895,--,--,G896
8a10,G896,"(0, 1, 5, 4, 3, 6, 7, 8, 9, 2)","(4, 9, 3, 2, 0, 1, 5, 6, 7, 8)",-2,1,#REF!,G896,--,--,G895
8a10,G897,"(0, 1, 6, 8, 4, 3, 5, 7, 9, 2)","(6, 7, 9, 3, 2, 0, 1, 4, 5, 8)",-2,1,#REF!,G897,--,--,?
8a10,G898,"(0, 1, 2, 4, 7, 5, 6, 3, 9, 8)","(6, 9, 0, 1, 3, 2, 4, 8, 7, 5)",-2,1,#REF!,G898,--,--,?
m8a10,G1785,"(0, 9, 8, 4, 5, 6, 3, 2, 1, 7)","(5, 1, 0, 6, 7, 9, 8, 4, 3, 2)",-8,-3,#REF!,G1785,--,--,?
m8a10,G1786,"(0, 9, 8, 7, 3, 2, 4, 5, 1, 6)","(4, 1, 0, 9, 8, 5, 6, 7, 3, 2)",-8,-3,#REF!,G1786,--,--,?
m8a10,G1780,"(0, 9, 7, 3, 6, 2, 1, 4, 5, 8)","(5, 2, 1, 8, 0, 7, 6, 9, 3, 4)",-8,-1,#REF!,G1780,--,--,?
m8a10,G1781,"(0, 1, 5, 3, 4, 2, 8, 7, 9, 6)","(8, 9, 0, 7, 6, 5, 3, 1, 4, 2)",-8,-1,#REF!,G1781,--,--,?
m8a10,G1782,"(0, 9, 4, 8, 3, 2, 5, 6, 7, 1)","(3, 1, 2, 0, 9, 7, 8, 4, 5, 6)",-8,-1,#REF!,G1782,--,--,?
m8a10,G1783,"(0, 2, 1, 9, 4, 8, 3, 7, 5, 6)","(5, 7, 6, 3, 0, 2, 1, 9, 8, 4)",-8,-1,#REF!,G1783,--,--,G1784
m8a10,G1784,"(0, 2, 1, 6, 4, 8, 9, 7, 5, 3)","(4, 6, 5, 3, 9, 0, 2, 1, 8, 7)",-8,-1,#REF!,G1784,--,--,G1783
m8a10,G1787,"(0, 3, 4, 7, 6, 2, 5, 1, 9, 8)","(4, 5, 9, 2, 1, 8, 0, 7, 6, 3)",-8,1,#REF!,G1787,--,--,?
m8a10,G1788,"(0, 7, 9, 8, 4, 2, 3, 1, 5, 6)","(4, 2, 5, 3, 1, 0, 9, 6, 7, 8)",-8,1,#REF!,G1788,--,--,?
m8a10,G1789,"(0, 4, 5, 6, 9, 8, 3, 7, 2, 1)","(5, 6, 7, 3, 4, 2, 1, 9, 0, 8)",-8,1,#REF!,G1789,--,--,?
m8a10,G1790,"(0, 1, 9, 3, 8, 2, 7, 5, 4, 6)","(2, 8, 7, 5, 4, 6, 3, 0, 9, 1)",-8,1,#REF!,G1790,--,--,G1791
m8a10,G1791,"(0, 8, 6, 4, 5, 9, 7, 2, 1, 3)","(6, 5, 2, 1, 3, 4, 0, 8, 7, 9)",-8,1,#REF!,G1791,--,--,G1790
m8a10,G1792,"(0, 5, 1, 2, 4, 3, 9, 8, 7, 6)","(4, 3, 9, 0, 1, 8, 7, 6, 5, 2)",-8,3,#REF!,G1792,--,--,?
m8a10,G1793,"(0, 6, 5, 4, 1, 2, 3, 9, 8, 7)","(5, 4, 3, 9, 8, 0, 1, 7, 6, 2)",-8,3,#REF!,G1793,--,--,?
8a11,G899,"(0, 9, 6, 5, 8, 7, 2, 1, 3, 4)","(3, 1, 0, 7, 6, 9, 8, 4, 5, 2)",-9,-2,#REF!,G899,--,--,?
8a11,G900,"(0, 7, 4, 8, 3, 6, 5, 2, 9, 1)","(2, 1, 9, 0, 5, 4, 7, 6, 3, 8)",-9,-2,#REF!,G900,--,--,G900
8a11,G901,"(0, 8, 2, 1, 5, 7, 6, 4, 3, 9)","(7, 1, 0, 6, 9, 3, 2, 8, 5, 4)",-9,0,#REF!,G901,?,?,G902
8a11,G902,"(0, 2, 1, 7, 5, 6, 9, 8, 4, 3)","(4, 9, 6, 3, 0, 8, 7, 2, 1, 5)",-9,0,#REF!,G902,?,?,G901
8a11,G903,"(0, 2, 9, 6, 5, 8, 3, 7, 4, 1)","(3, 8, 5, 4, 7, 6, 1, 2, 0, 9)",-9,2,#REF!,G903,--,--,G903
8a11,G904,"(0, 1, 3, 2, 7, 6, 9, 8, 5, 4)","(2, 9, 0, 6, 5, 8, 7, 4, 3, 1)",-9,2,#REF!,G904,--,--,?
m8a11,G1794,"(0, 6, 5, 1, 2, 7, 8, 9, 3, 4)","(3, 2, 7, 6, 8, 9, 0, 4, 5, 1)",-1,0,#REF!,G1794,?,?,G1798
m8a11,G1795,"(0, 3, 5, 1, 9, 4, 6, 7, 8, 2)","(4, 9, 0, 8, 2, 1, 3, 5, 6, 7)",-1,0,#REF!,G1795,?,G1799,G1801
m8a11,G1796,"(0, 1, 4, 8, 7, 5, 6, 9, 2, 3)","(2, 5, 7, 6, 9, 8, 0, 3, 4, 1)",-1,0,#REF!,G1796,?,G1796,?
m8a11,G1797,"(0, 5, 6, 3, 4, 7, 8, 2, 1, 9)","(6, 7, 4, 5, 8, 9, 1, 0, 3, 2)",-1,0,#REF!,G1797,?,?,G1800
m8a11,G1798,"(0, 1, 4, 3, 7, 8, 9, 2, 5, 6)","(2, 9, 0, 5, 4, 6, 7, 8, 1, 3)",-1,0,#REF!,G1798,?,?,G1794
m8a11,G1799,"(0, 9, 1, 3, 2, 4, 6, 8, 7, 5)","(8, 2, 4, 6, 5, 7, 0, 1, 9, 3)",-1,0,#REF!,G1799,G1801,G1795,?
m8a11,G1800,"(0, 6, 7, 4, 5, 8, 9, 2, 3, 1)","(2, 1, 5, 6, 3, 4, 7, 8, 0, 9)",-1,0,#REF!,G1800,?,?,G1797
m8a11,G1801,"(0, 7, 8, 2, 9, 3, 5, 4, 6, 1)","(2, 1, 3, 5, 4, 6, 9, 7, 0, 8)",-1,0,#REF!,G1801,G1799,?,G1795
8a12,G905,"(0, 9, 2, 1, 4, 3, 7, 8, 5, 6)","(3, 1, 0, 8, 9, 5, 4, 6, 7, 2)",-5,0,#REF!,G905,G907,G907,G905
8a12,G906,"(0, 5, 4, 1, 7, 6, 2, 3, 9, 8)","(4, 3, 9, 6, 5, 8, 7, 0, 1, 2)",-5,0,#REF!,G906,?,G909,?
8a12,G907,"(0, 8, 9, 5, 4, 6, 7, 2, 3, 1)","(2, 1, 4, 3, 7, 8, 5, 6, 0, 9)",-5,0,#REF!,G907,G905,G905,G907
8a12,G908,"(0, 3, 2, 4, 8, 6, 5, 9, 7, 1)","(2, 1, 8, 9, 3, 0, 7, 6, 4, 5)",-5,0,#REF!,G908,G910,G910,G908
8a12,G909,"(0, 2, 1, 6, 5, 9, 8, 3, 4, 7)","(3, 8, 5, 4, 7, 6, 0, 9, 1, 2)",-5,0,#REF!,G909,?,G906,?
8a12,G910,"(0, 3, 2, 5, 8, 4, 7, 6, 9, 1)","(2, 1, 7, 9, 0, 6, 5, 3, 4, 8)",-5,0,#REF!,G910,G908,G908,G910
8a12,G911,"(0, 9, 2, 1, 4, 3, 5, 6, 8, 7)","(3, 1, 0, 8, 9, 6, 7, 4, 5, 2)",-5,0,#REF!,G911,G911,G911,G911
8a13,G912,"(0, 8, 7, 2, 1, 4, 6, 3, 5, 9)","(6, 3, 9, 8, 5, 0, 1, 7, 2, 4)",-4,-1,#REF!,G912,--,--,G919
8a13,G913,"(0, 8, 5, 4, 6, 3, 1, 2, 7, 9)","(6, 3, 9, 7, 2, 5, 4, 8, 0, 1)",-4,-1,#REF!,G913,--,--,G916
8a13,G914,"(0, 4, 3, 7, 6, 8, 5, 1, 2, 9)","(8, 9, 5, 4, 2, 3, 7, 6, 0, 1)",-4,-1,#REF!,G914,--,--,G917
8a13,G915,"(0, 9, 3, 4, 1, 2, 5, 8, 7, 6)","(7, 5, 6, 2, 3, 0, 1, 4, 9, 8)",-4,-1,#REF!,G915,--,--,G920
8a13,G916,"(0, 1, 7, 8, 6, 4, 3, 5, 9, 2)","(3, 9, 0, 5, 2, 7, 6, 1, 4, 8)",-4,-1,#REF!,G916,--,--,G913
8a13,G917,"(0, 4, 5, 2, 3, 7, 6, 1, 9, 8)","(5, 6, 3, 4, 9, 0, 8, 7, 2, 1)",-4,-1,#REF!,G917,--,--,G914
8a13,G918,"(0, 4, 5, 8, 9, 3, 2, 1, 6, 7)","(6, 9, 1, 0, 7, 8, 4, 3, 2, 5)",-4,-1,#REF!,G918,--,--,G923
8a13,G919,"(0, 6, 5, 3, 4, 8, 7, 1, 9, 2)","(4, 1, 7, 6, 9, 0, 2, 5, 3, 8)",-4,-1,#REF!,G919,--,--,G912
8a13,G920,"(0, 9, 3, 4, 1, 2, 5, 8, 7, 6)","(7, 4, 5, 2, 3, 6, 0, 1, 9, 8)",-4,-1,#REF!,G920,--,--,G915
8a13,G921,"(0, 2, 5, 3, 4, 9, 8, 6, 7, 1)","(4, 6, 1, 7, 2, 3, 0, 9, 5, 8)",-4,-1,#REF!,G921,--,--,G922
8a13,G922,"(0, 2, 3, 1, 6, 7, 5, 4, 9, 8)","(3, 4, 9, 7, 0, 2, 8, 6, 5, 1)",-4,-1,#REF!,G922,--,--,G921
8a13,G923,"(0, 4, 5, 1, 8, 7, 6, 2, 3, 9)","(5, 6, 2, 4, 3, 9, 8, 7, 0, 1)",-4,-1,#REF!,G923,--,--,G918
